Docket_Number,Case_Name,Intervenors_and_Counsel,SCC_Registry_URL
35644,R. v. Mohamed,No Intervenors found in this case.,https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14385/index.do
35226,Imperial Oil v. Jacques,"[Intervener] Couche-Tard Inc. -> Louis-Martin O'Neill, Jean-Philippe Groleau
[Intervener] Alimentation Couche-Tard Inc., Dépan-Escompte Couche-Tard Inc. -> Louis-Martin O'Neill, Jean-Philippe Groleau
[Intervener] Bonin, Céline -> Louis Belleau, Ad. E., André Mignault, Luc Jobin
[Intervener] Ultramar Ltd -> Louis P. Bélanger, Q.C., Caroline Plante, Julie Girard
[Intervener] Pétroles Therrien Inc., Distributions Pétrolières Therrien Inc. -> Pascale Cloutier, Fadi Amine
[Intervener] Irving Oil Inc. / Irving Oil Operations Ltd. -> Sylvain Lussier, Elizabeth Meloche
[Intervener] Olco Petroleum Group Inc. -> Éric Vallières, Sidney Elbaz, Rachel April-Giguère
[Intervener] Philippe Gosselin & Associés Ltd -> Michel Chabot, Hugo Poirier
[Intervener] André Bilodeau, Carol Lehoux, Claude Bédard, Stéphane Grant -> Michel Chabot, Hugo Poirier
[Intervener] Coop fédérée, Robert Murphy, Gary Neiderer -> Julie Chenette, Sébastien Pierre-Roy
[Intervener] 9142-0935 Québec Inc., 9131-4716 Québec Inc., Groupe Denis Mongeau Inc. -> Michel Jolin, Marie-Geneviève Masson, Favrice Anglade Vil
[Intervener] Couturier, Luc -> Roxanne Hardy
[Intervener] Forget, Luc -> Roxanne Hardy
[Intervener] Angers, Guy -> Jean-Rémi Thibault
[Intervener] Ouellet, Jacques -> Jean-Rémi Thibault
[Intervener] Pétroles Cadrin Inc., Daniel Drouin -> Daniel O'Brien, Pierre Grégoire
[Intervener] Pétroles Global inc. / Global Fuels Inc. -> David Quesnel
[Intervener] Pétroles Global (Québec) inc. / Global Fuels (Quebec) Inc. -> David Quesnel
[Intervener] Provigo Distribution Inc. -> Robert E. Charbonneau, Tommy Tremblay, Anne Merminod
[Intervener] Aubut, Carole -> Richard Morin
[Intervener] Bédard, Richard -> Mark J. Paci
[Intervener] Payette, Christian -> Dominic Desjarlais, Gérald Soulière, Julie Philippe
[Intervener] Bourassa, Pierre -> Jean Berthiaume, Richard Mallette
[Intervener] Leblond, Daniel -> Jo-Anne Demers, Jean-Olivier Lessard
[Intervener] Dépanneur Magog-Orford Inc -> Geneviève Cotnam, Geneviève Allen, Émilie Bilodeau
[Intervener] 2944-4841 Québec Inc. -> Charles Gosselin
[Intervener] Société coopérative agricole des Bois-Francs -> Claude Brulotte
[Intervener] Gestion Astral Inc., Lise Delisle -> Maryse Carrier, Jean-François Côté
[Intervener] 134553 Canada Inc. -> Benoît Lapointe, Maxime Nasr
[Intervener] Garage Luc Fecteau et fils Inc., Station-Service Jacques Blais Inc., 9029-6815 Québec Inc., Garage Jacques Robert Inc. -> Jean-Claude Chabot, Claudia Marie Chabot
[Intervener] Gérald Groulx Station Service Inc., Services Autogarde D.D. Inc., 9010-1460 Québec Inc. -> Stéphane Reynolds
[Intervener] Armand Pouliot, Julie Roberge, Station-Service Pouliot et Roberge s.e.n.c. -> Pierre Paradis, Anne-Marie Lessard
[Intervener] 9038-6095 Québec Inc. -> Marcel Després
[Intervener] 9083-0670 Québec Inc., Gestion Ghislain Lallier Inc. -> Sylvain Beauregard, Claude A. Roy
[Intervener] 2429-7822 Québec Inc. -> Simon Letendre
[Intervener] 2627-3458 Québec Inc. -> Sylvain Beauregard, Claude A. Roy
[Intervener] 9098-0111 Québec Inc. -> Guy Plourde
[Intervener] 2311-5959 Québec Inc., Gaz-O-Pneus Inc. -> Pierre Lessard
[Intervener] C. Lagrandeur et fils Inc. -> Jean Beaudry
[Intervener] Universy Galt Service Inc. -> Simon Letendre
[Intervener] Valérie Houde, Sylvie Fréchette, Robert Beaurivage -> Maxime Bernatchez
[Intervener] 9011-4653 Québec Inc., Pétroles Remay Inc., Variétés Jean Yves Plourde Inc. and 9016-8360 Québec Inc. -> None listed
[Intervener] Benoît, France -> Pascale Cloutier, Fadi Amine
[Intervener] Michaud, Richard -> Pascale Cloutier, Fadi Amine
[Intervener] Attorney General of Ontario -> Megan Stephens, Deborah Calderwood",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14399/index.do
35100,Thibodeau v. Air Canada,"[Intervener] Commissioner of Official Languages of Canada -> Pascale Giguère, Kevin Shaar",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14418/index.do
35215,Febles v. Canada (Citizenship and Immigration),"[Intervener] Amnesty International -> Jennifer Anne Klinck, Perri Ravon, Michael Sabet, Justin Dubois
[Intervener] United Nations High Commissioner for Refugees -> John Terry, Ryan Lax, Rana R. Khan
[Intervener] Canadian Association of Refugee Lawyers -> Barbara Jackman, Aviva Basman, Alyssa Manning
[Intervener] Canadian Council for Refugees -> Catherine Dauvergne, Angus Grant, Pia Zambelli
[Intervener] Canadian Civil Liberties Association -> Peter H. Edelmann, Lorne Waldman, Lobat Sadrehashemi, Aris Daghighian",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14419/index.do
35823,"Yukon Francophone School Board, Education Area #23 v. Yukon (Attorney General)","[Intervener] Attorney General of Quebec -> Dominique A. Jobin, Dana Pescarus
[Intervener] Attorney General of British Columbia -> Karrie Wolfe
[Intervener] Attorney General for Saskatchewan -> Alan F. Jacobson, Barbara C. Mysko
[Intervener] Attorney General of the Northwest Territories -> Guy Régimbald
[Intervener] Commissioner of Official Languages of Canada -> Pascale Giguère, Mathew Croitoru
[Intervener] Conseil scolaire francophone de la Colombie-Britannique et la Fédération des parents francophones de Colombie-Britannique -> Mark C. Power, David P. Taylor, Robert W. Grant, c.r., Maxine Vincelette
[Intervener] Fédération des parents francophones de l'Alberta -> Nicolas M. Rouleau, Sylvain Rouleau
[Intervener] Fédération nationale des conseils scolaires francophones et la Fédération des communautés francophones et acadienne du Canada -> Mark C. Power",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/15357/index.do
35380,Bhasin v. Hrynew,No Intervenors found in this case.,https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14438/index.do
35072,Wakeling v. United States of America,"[Intervener] Attorney General of Ontario -> Joan Barrett
[Intervener] Attorney General of Quebec -> Jean-Vincent Lacroix, Dominique A. Jobin, Émilie-Annick Landry-Thériault
[Intervener] Canadian Civil Liberties Association -> Peter M. Rogers, Q.C., Jane O'Neill
[Intervener] British Columbia Civil Liberties Association -> Michael A. Feder, Emily MacKinnon
[Intervener] Information and Privacy Commissioner of Ontario -> David Goodis, Stephen McCammon
[Intervener] Privacy Commissioner of Canada -> Mahmud Jamal, Jennifer Seligy",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14439/index.do
35298,R. v. Fearon,"[Intervener] Director of Public Prosecutions of Canada -> Kevin R. Wilson, W. Paul Riley
[Intervener] Attorney General of Quebec -> Dominique A. Jobin, Abdou Thiaw
[Intervener] Attorney General of Alberta -> Jolaine Antonio
[Intervener] Samuelson-Glushko Canadian Internet Policy and Public Interest Clinic -> Tamir Israel
[Intervener] British Columbia Civil Liberties Association -> Gerald Chan, Nader R. Hasan
[Intervener] Criminal Trial Lawyers' Association (Alberta) -> Dane F. Bullerwell
[Intervener] Canadian Civil Liberties Association -> Matthew Milne-Smith
[Intervener] Canadian Association of Chiefs of Police -> Bronson Toy, Leonard T. Doust, Q.C.
[Intervener] Criminal Lawyers' Association -> Susan M. Chapman, Jennifer Micallef, Kristen Allen",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14502/index.do
35034,Kazemi Estate v. Islamic Republic of Iran,"[Intervener] Canadian Lawyers for International Human Rights -> Jill Copeland, Emma Phillips, Daniel Sheppard
[Intervener] Amnistie internationale, Section Canada francophone -> François Larocque, Alyssa Tomkins
[Intervener] Redress Trust Ltd. -> Azim Hussain, Rahool P. Agarwal, Maureen Edwards
[Intervener] Canadian Association of Refugee Lawyers -> Daniel Sheppard, Tamara Morgenthau
[Intervener] British Columbia Civil Liberties Association -> Ward K. Branch, Susan M. Precious
[Intervener] Canadian Bar Association -> David Matas, Monique Pongracic-Speier, Noemi Gal-Or
[Intervener] Canadian Civil Liberties Association -> Christopher A. Wayland, Simon Chamberland
[Intervener] Canadian Centre for International Justice -> John Terry, Sarah R. Shody
[Intervener] David Asper Centre for Constitutional Rights, International Human Rights Program, University of Toronto Faculty of Law -> John Norris, Carmen Cheung
[Intervener] Iran Human Rights Documentation Center -> Babak Barin",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14384/index.do
35475,R. v. Kokopenace,"[Intervener] Advocates' Society -> Brian H. Greenspan, Katherine Hensel, Promise Holmes Skinner
[Intervener] Nishnawbe Aski Nation -> Julian N. Falconer, Julian Roy, Marc E. Gibson
[Intervener] David Asper Centre for Constitutional Rights and Women's Legal Education and Action Fund, Inc (LEAF) -> Cheryl Milne, Kim Stanton
[Intervener] Native Women's Association of Canada and Canadian Association of Elizabeth Fry Societies -> Mary Eberts
[Intervener] Aboriginal Legal Services of Toronto Inc. -> Christa Big Canoe, Jonathan Rudin",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/15373/index.do
