NGO,Counsel,Weight
"Advocacy Centre for Tenants Ontario, ARCH Disability Law Centre, Canadian Environmental Law Association, Chinese and Southeast Asian Legal Clinic, HIV & AIDS Legal Clinic Ontario, South Asian Legal Clinic Ontario",Mariam Shanouda,1
"Advocacy Centre for Tenants Ontario, ARCH Disability Law Centre, Canadian Environmental Law Association, Chinese and Southeast Asian Legal Clinic, HIV & AIDS Legal Clinic Ontario, South Asian Legal Clinic Ontario",Roberto Lattanzio,1
Advocacy Centre for the Elderly and ARCH Disability Law Centre,C. Tess Sheldon,1
Advocacy Centre for the Elderly and ARCH Disability Law Centre,Clara Ho,1
Advocacy Centre for the Elderly and ARCH Disability Law Centre,Dianne Wintermute,1
Advocacy Centre for the Elderly and ARCH Disability Law Centre,Graham Webb,1
Advocates for the Rule of Law,Adam Goldenberg,4
Advocates for the Rule of Law,Adam H. Kanji,1
Advocates for the Rule of Law,Alexandra Comber,1
Advocates for the Rule of Law,Asher Honickman,6
Advocates for the Rule of Law,Brandon Chung,2
Advocates for the Rule of Law,Brandon Kain,2
Advocates for the Rule of Law,Bryn Gray,1
Advocates for the Rule of Law,Connor Bildfell,4
Advocates for the Rule of Law,Ewa Krajewska,2
Advocates for the Rule of Law,Gregory Ringkamp,1
Advocates for the Rule of Law,Holly Kallmeyer,1
Advocates for the Rule of Law,Lindsay Frame,1
Advocates for the Rule of Law,Peter Grbac,1
Advocates for the Rule of Law,Peter Joseph Henein,2
Advocates for the Rule of Law,Robyn Gifford,2
Advocates' Society,Amélie Aubut,1
Advocates' Society,Andres C. Garin,1
Advocates' Society,Anil K. Kapoor,1
Advocates' Society,Barbara A. McIsaac (QC),1
Advocates' Society,Brian H. Greenspan,1
Advocates' Society,Cate Martell,1
Advocates' Society,Chris G. Paliare,2
Advocates' Society,Deborah C. Templer,1
Advocates' Society,Edward W. Halt,1
Advocates' Society,Frank Addario,1
Advocates' Society,Jacquie El-Chammas,1
Advocates' Society,Jill R. Presser,1
Advocates' Society,Joanna Radbord,2
Advocates' Society,John Norris,1
Advocates' Society,Joseph J. Arvay (QC),1
Advocates' Society,Katherine Hensel,1
Advocates' Society,Kelly D. Jordan,1
Advocates' Society,Lindsay E. Trevelyan,1
Advocates' Society,Matthew R. Law,1
Advocates' Society,Monique Pongracic-Speier,2
Advocates' Society,Paul D. Stern,1
Advocates' Society,Perry R. Mack (QC),1
Advocates' Society,Pierre Bienvenu,1
Advocates' Society,Promise Holmes Skinner,1
Advocates' Society,Terrence J. O’Sullivan,1
Advocates' Society,Tim Dickson,1
African Canadian Legal Clinic,Anthony Morgan,1
African Canadian Legal Clinic,Danardo Jones,1
African Canadian Legal Clinic,Dena Smith,2
African Canadian Legal Clinic,Ed Morgan,1
African Canadian Legal Clinic,Faisal Mirza,4
African Canadian Legal Clinic,Faizal Mirza,1
African Canadian Legal Clinic,Moya Teklu,1
African Canadian Legal Clinic,Roger A. Love,1
African Canadian Legal Clinic,Sunil Gurmukh,1
African Canadian Legal Clinic,Tamara Thomas,1
African Nova Scotian Justice Institute,Brandon P. Rolle,1
Air Canada Pilots' Association,Christopher Rootham,1
Air Canada Pilots' Association,Steve Waller,1
Alaris Royalty Corp.,Alain N. Tardif,1
Alberta Federation of Labour,David Williams,1
Alberta Federation of Labour,John R. Carpenter,2
Alberta Federation of Labour,Kara O’Halloran,1
Alberta Federation of Labour,Kristan McLeod,2
Alberta Federation of Labour,Patrick Nugent,1
Alberta Federation of Labour,Ritu Khullar,2
Alberta Federation of Labour,Vanessa Cosco,1
"Alberta Gaming, Liquor, and Cannabis Commission",G. Alan Meikle (QC),1
"Alberta Gaming, Liquor, and Cannabis Commission",Mandy England,1
"Alberta Gaming, Liquor, and Cannabis Commission",Sean McDonough,1
Alberta Human Rights Commission,Audrey Dean,1
Alberta Human Rights Commission,Janice R. Ashcroft,1
Alberta Muslim Public Affairs Council,Avnish Nanda,1
Alberta Prison Justice Society,Amy Matychuk,1
Alberta Prison Justice Society,Avnish Nanda,1
Alberta Public Interest Research Group,Avnish Nanda,1
Alberta Public Interest Research Group,Faiz M. Lalani,1
Alberta Public Interest Research Group,Ranjan K. Agarwal,1
